Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2023,1.0,2,129.0,0.4179999999978463,8.0,13.0,14.5,1
2023,1.0,2,182.0,3.4719999999979336,0.0,17.0,20.0,1
2023,23.0,7,26.0,0.3419999999996435,1.0,24.0,25.0,0
2023,23.0,20,45.0,7.333999999999833,11.0,11.0,19.5,0
2023,96.0,3,55.0,5.97899999999936,0.0,21.5,19.0,0
2023,96.0,6,76.0,1.22400000000016,10.0,19.0,29.0,1
2023,96.0,3,129.0,1.618000000002212,0.0,21.0,21.0,1
2023,96.0,5,183.0,4.996999999999389,20.0,14.5,16.5,0
2023,96.0,5,203.0,3.3149999999986903,0.0,16.0,16.0,1
2023,96.0,10,256.0,9.435000000004948,0.0,22.0,28.0,0
2023,16.0,7,12.0,0.6390000000001237,16.0,10.0,26.0,0
2023,16.0,14,32.0,6.7979999999997744,0.0,17.0,17.0,1
2023,16.0,10,55.0,0.6529999999993379,0.0,19.0,19.0,0
2023,16.0,6,77.0,6.503000000000611,9.0,20.0,29.0,1
2023,16.0,6,129.0,5.044000000001688,0.0,19.5,9.5,0
2023,16.0,3,182.0,2.574000000000524,0.0,15.5,21.0,1
2023,16.0,11,203.0,1.9180000000014843,0.0,16.5,16.5,0
2023,16.0,12,224.0,7.881000000001222,6.0,19.0,25.5,1
2023,16.0,10,244.0,0.5800000000017462,14.0,19.0,25.0,1
2023,16.0,4,264.0,4.028999999994994,6.0,19.0,8.5,0
2023,78.0,18,55.0,4.686999999999898,0.0,15.5,22.0,1
2023,78.0,12,155.0,8.90899999999965,0.0,23.0,23.0,0
2023,78.0,9,182.0,3.625,0.0,14.0,15.5,0
2023,78.0,12,203.0,2.1299999999973807,0.0,16.5,15.5,0
2023,47.0,15,55.0,1.8419999999996435,0.0,22.0,19.0,0
2023,47.0,7,182.0,0.853000000002794,0.0,18.0,14.0,1
2023,70.0,15,75.0,0.4279999999998836,10.0,17.5,28.0,1
2023,70.0,8,94.0,0.39500000000043656,23.0,18.0,30.0,0
2023,70.0,13,125.0,0.875,5.0,16.0,17.0,0
2023,70.0,6,203.0,0.9290000000000873,0.0,16.5,16.5,1
2023,83.0,16,55.0,0.8230000000003201,0.0,18.5,10.5,0
2023,83.0,14,182.0,4.8729999999995925,0.0,14.0,18.0,0
2023,83.0,14,203.0,3.9949999999989814,0.0,15.5,16.5,0
2023,91.0,11,55.0,2.7490000000007058,0.0,19.0,19.0,0
2023,91.0,9,203.0,1.370999999999185,0.0,16.0,16.0,0
2023,91.0,6,257.0,5.514000000002852,4.0,22.0,27.0,1
2023,91.0,2,278.0,2.0649999999950523,2.0,14.5,13.5,0
2023,21.0,13,55.0,0.774000000000342,0.0,19.0,18.5,0
2023,27.0,12,55.0,2.081999999999425,0.0,18.5,19.0,0
2023,27.0,7,77.0,4.244000000000597,8.0,20.0,28.0,0
2023,27.0,4,129.0,0.8339999999989232,0.0,21.0,21.0,1
2023,27.0,4,203.0,0.8179999999993015,0.0,16.5,16.5,1
2023,44.0,7,55.0,0.7069999999994252,0.0,19.0,19.0,1
2023,44.0,8,129.0,1.8009999999994761,0.0,11.5,12.5,1
2023,44.0,5,182.0,0.8839999999981956,0.0,16.0,15.5,1
2023,44.0,2,203.0,4.552999999999884,2.0,16.5,17.5,1
2023,80.0,8,55.0,1.23700000000008,0.0,18.5,18.5,1
2023,57.0,4,55.0,4.77100000000064,0.0,19.0,19.0,1
2023,57.0,5,129.0,3.0339999999996508,0.0,11.5,11.5,1
2023,57.0,6,182.0,2.3580000000001746,1.0,18.5,14.5,1
2023,32.0,12,182.0,3.9760000000023865,0.0,10.0,18.5,0
2023,32.0,3,203.0,0.9269999999996799,0.0,16.5,16.5,1
2023,66.0,14,55.0,1.0010000000002037,0.0,19.0,19.0,0
