"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","DPi","Pipo Derani","1","1:51.955","1:51.955","Green","Track","10.895","70.250","30.617"
"10","DPi","Ricky Taylor","1","1:53.144","1:53.144","Green","Track","11.143","70.900","30.749"
"60","DPi","Tom Blomqvist","1","1:53.770","1:53.770","Green","Track","10.963","71.238","30.692"
"02","DPi","Alex Lynn","1","1:56.386","1:56.386","Green","Track","11.336","73.630","31.046"
"48","DPi","Mike Rockenfeller","1","1:57.222","1:57.222","Green","Track","11.306","73.574","31.629"
"5","DPi","Tristan Vautier","1","1:58.191","1:58.191","Green","Track","11.312","73.544","32.206"
"52","LMP2","Ben Keating","1","1:59.476","1:59.476","Green","Track","11.506","73.946","32.472"
"81","LMP2","Henrik Hedman","1","2:00.541","2:00.541","Green","Track","11.600","74.887","32.313"
"18","LMP2","Dwight Merriman","1","2:01.138","2:01.138","Green","Track","11.539","75.308","32.288"
"29","LMP2","Frits Van Eerd","1","2:02.270","2:02.270","Green","Track","12.103","75.943","32.079"
"11","LMP2","Steven Thomas","1","2:02.873","2:02.873","Green","Track","11.864","75.791","32.115"
"8","LMP2","John Farano","1","2:03.484","2:03.484","Green","Track","11.991","76.804","32.149"
"20","LMP2","Dennis Andersen","1","2:04.100","2:04.100","Green","Track","12.024","76.986","32.333"
"22","LMP2","James McGuire","1","2:05.893","2:05.893","Green","Track","12.547","77.190","32.896"
"74","LMP3","Gar Robinson","1","2:09.065","2:09.065","Green","Track","12.337","78.269","34.680"
"6","LMP3","Harry Gottsacker","1","2:09.288","2:09.288","Green","Track","12.728","78.689","34.200"
"38","LMP3","Dan Goldburg","1","2:09.733","2:09.733","Green","Track","12.800","79.012","34.025"
"40","LMP3","Max Hanratty","1","2:10.286","2:10.286","Green","Track","13.027","79.374","33.916"
"01","DPi","Sebastien Bourdais","1","2:10.504","2:10.504","Green","Pit","10.562","74.584","45.357"
"33","LMP3","Lance Willsey","1","2:12.312","2:12.312","Green","Track","13.087","80.435","34.608"
"54","LMP3","George Kurtz","1","2:12.468","2:12.468","Green","Track","13.142","80.520","34.417"
"13","LMP3","Orey Fidani","1","2:12.701","2:12.701","Green","Track","13.110","80.723","34.215"
"30","LMP3","Ari Balogh","1","2:13.869","2:13.869","Green","Track","13.360","80.973","34.818"
"7","LMP3","Anthony Mantella","1","2:14.100","2:14.100","Green","Track","13.444","81.173","34.633"
"62","GTDPRO","Daniel Serra","1","2:43.494","2:43.494","Green","Track","12.414","78.366","34.625"
"63","GTDPRO","Mirko Bortolotti","1","2:43.679","2:43.679","Green","Track","12.565","78.350","34.514"
"96","GTD","Robby Foley","1","2:44.165","2:44.165","Green","Track","12.725","78.310","34.616"
"16","GTD","Zacharie Robichon","1","2:44.711","2:44.711","Green","Track","12.985","78.457","34.764"
"1","GTD","Madison Snow","1","2:44.993","2:44.993","Green","Track","12.898","78.620","34.637"
"3","GTDPRO","Antonio Garcia","1","2:45.521","2:45.521","Green","Track","12.965","78.966","34.488"
"9","GTDPRO","Matt Campbell","1","2:46.265","2:46.265","Green","Track","12.781","79.190","34.746"
"47","GTD","Giorgio Sernagiotto","1","2:46.578","2:46.578","Green","Track","12.787","79.855","34.735"
"14","GTDPRO","Aaron Telitz","1","2:47.045","2:47.045","Green","Track","13.013","79.672","34.727"
"24","GTDPRO","Nick Yelloly","1","2:47.138","2:47.138","Green","Track","12.783","80.207","34.491"
"23","GTDPRO","Alex Riberas","1","2:47.966","2:47.966","Green","Track","13.282","80.227","34.859"
"25","GTDPRO","Augusto Farfus","1","2:48.353","2:48.353","Green","Track","12.972","80.700","34.490"
"79","GTDPRO","Julien Andlauer","1","2:49.203","2:49.203","Green","Track","12.902","80.700","35.098"
"93","GTDPRO","Kyle Marcelli","1","2:49.432","2:49.432","Green","Track","13.287","80.727","35.098"
"28","GTD","Michael de Quesada","1","2:49.642","2:49.642","Green","Track","13.331","81.199","34.708"
"21","GTD","Simon Mann","1","2:50.365","2:50.365","Green","Track","13.228","81.934","35.011"
"66","GTD","Till Bechtolsheimer","1","2:51.101","2:51.101","Green","Track","13.099","81.914","35.353"
"12","GTD","Frankie Montecalvo","1","2:51.262","2:51.262","Green","Track","12.968","81.759","35.459"
"27","GTD","Ian James","1","2:51.868","2:51.868","Green","Track","13.227","81.603","35.588"
"59","GTD","Jon Miller","1","2:52.074","2:52.074","Green","Track","13.198","82.526","35.469"
"97","GTDPRO","Cooper MacNeil","1","2:52.340","2:52.340","Green","Track","13.293","82.694","35.160"
"39","GTD","Robert Megennis","1","2:52.933","2:52.933","Green","Track","13.128","83.019","35.322"
"57","GTD","Russell Ward","1","2:53.058","2:53.058","Green","Track","13.112","82.543","35.162"
"44","GTD","John Potter","1","2:53.612","2:53.612","Green","Track","13.108","83.178","35.327"
"70","GTD","Brendan Iribe","1","2:54.104","2:54.104","Green","Track","13.561","82.692","35.521"
"99","GTD","Rob Ferriol","1","2:54.639","2:54.639","Green","Track","13.221","82.877","35.732"
"42","GTD","Don Yount","1","2:55.773","2:55.773","Green","Track","13.778","83.631","36.435"
"32","GTD","Mike Skeen","1","2:58.222","2:58.222","Green","Pit","13.058","80.421","44.633"
"31","DPi","Pipo Derani","2","1:50.084","3:42.039","Green","Track","10.070","69.407","30.607"
"10","DPi","Ricky Taylor","2","1:50.114","3:43.258","Green","Track","10.069","69.495","30.550"
"60","DPi","Tom Blomqvist","2","1:50.293","3:44.063","Green","Track","10.071","69.571","30.651"
"02","DPi","Alex Lynn","2","1:49.227","3:45.613","Green","Track","10.088","68.888","30.251"
"48","DPi","Mike Rockenfeller","2","1:49.784","3:47.006","Green","Track","10.133","69.232","30.419"
"5","DPi","Tristan Vautier","2","1:51.620","3:49.811","Green","Track","10.601","70.065","30.954"
"52","LMP2","Ben Keating","2","1:53.754","3:53.230","Green","Track","10.490","71.682","31.582"
"81","LMP2","Henrik Hedman","2","1:54.774","3:55.315","Green","Track","10.726","72.446","31.602"
"18","LMP2","Dwight Merriman","2","1:55.141","3:56.279","Green","Track","10.544","72.755","31.842"
"29","LMP2","Frits Van Eerd","2","1:55.148","3:57.418","Green","Track","10.871","72.549","31.728"
"11","LMP2","Steven Thomas","2","1:57.375","4:00.248","Green","Track","10.636","74.245","32.494"
"8","LMP2","John Farano","2","1:57.283","4:00.767","Green","Track","10.893","73.761","32.629"
"20","LMP2","Dennis Andersen","2","1:57.074","4:01.174","Green","Track","10.675","73.676","32.723"
"22","LMP2","James McGuire","2","1:57.059","4:02.952","Green","Track","10.977","73.802","32.280"
"74","LMP3","Gar Robinson","2","2:03.172","4:12.237","Green","Track","12.070","77.153","33.949"
"6","LMP3","Harry Gottsacker","2","2:03.458","4:12.746","Green","Track","12.040","77.520","33.898"
"40","LMP3","Max Hanratty","2","2:03.078","4:13.364","Green","Track","11.723","77.576","33.779"
"38","LMP3","Dan Goldburg","2","2:03.994","4:13.727","Green","Track","11.732","77.798","34.464"
"54","LMP3","George Kurtz","2","2:04.853","4:17.321","Green","Track","11.576","78.527","34.750"
"33","LMP3","Lance Willsey","2","2:05.143","4:17.455","Green","Track","11.452","78.520","35.171"
"13","LMP3","Orey Fidani","2","2:04.937","4:17.638","Green","Track","11.908","78.339","34.690"
"30","LMP3","Ari Balogh","2","2:04.551","4:18.420","Green","Track","11.865","77.716","34.970"
"7","LMP3","Anthony Mantella","2","2:04.613","4:18.713","Green","Track","11.809","78.113","34.691"
"62","GTDPRO","Daniel Serra","2","2:02.727","4:46.221","Green","Track","11.607","76.762","34.358"
"63","GTDPRO","Mirko Bortolotti","2","2:02.755","4:46.434","Green","Track","11.790","76.796","34.169"
"96","GTD","Robby Foley","2","2:03.329","4:47.494","Green","Track","11.713","77.131","34.485"
"16","GTD","Zacharie Robichon","2","2:03.703","4:48.414","Green","Track","11.720","77.227","34.756"
"1","GTD","Madison Snow","2","2:03.659","4:48.652","Green","Track","11.799","77.389","34.471"
"3","GTDPRO","Antonio Garcia","2","2:03.532","4:49.053","Green","Track","11.763","77.458","34.311"
"9","GTDPRO","Matt Campbell","2","2:03.678","4:49.943","Green","Track","11.719","77.479","34.480"
"47","GTD","Giorgio Sernagiotto","2","2:03.547","4:50.125","Green","Track","11.792","77.372","34.383"
"24","GTDPRO","Nick Yelloly","2","2:03.396","4:50.534","Green","Track","11.758","77.225","34.413"
"14","GTDPRO","Aaron Telitz","2","2:04.210","4:51.255","Green","Track","12.042","77.735","34.433"
"25","GTDPRO","Augusto Farfus","2","2:03.277","4:51.630","Green","Track","11.928","77.190","34.159"
"79","GTDPRO","Julien Andlauer","2","2:04.212","4:53.415","Green","Track","11.739","77.778","34.695"
"93","GTDPRO","Kyle Marcelli","2","2:04.542","4:53.974","Green","Track","11.872","78.049","34.621"
"28","GTD","Michael de Quesada","2","2:04.586","4:54.228","Green","Track","11.932","78.205","34.449"
"21","GTD","Simon Mann","2","2:04.777","4:55.142","Green","Track","11.770","78.612","34.395"
