"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"34","GS","Jesse Webb","49","1:57.599","1:50:46.749","Green","Track","27.184","44.280","46.135"
"61","TCR","Jon Morley","49","1:59.854","1:50:53.387","Green","Track","27.367","45.679","46.808"
"67","GS","Sebastian Carazo","49","2:01.046","1:50:54.281","Green","Track","27.379","46.088","47.579"
"16","GS","Will Lambros","49","2:00.054","1:50:54.408","Green","Track","27.461","45.114","47.479"
"91","GS","Riley Dickinson","49","1:59.662","1:50:54.401","Green","Track","27.306","45.397","46.959"
"77","TCR","Bryson Morris","49","2:00.885","1:50:54.739","Green","Track","27.816","45.666","47.403"
"76","TCR","Denis Dupont","49","2:00.007","1:50:55.057","Green","Track","27.774","44.996","47.237"
"98","TCR","Mark Wilkins","49","1:59.070","1:50:59.534","Green","Track","27.825","44.794","46.451"
"5","TCR","Tim Lewis","35","1:58.351","1:51:03.066","Green","Track","27.411","44.576","46.364"
"28","GS","Stevan McAleer","49","1:57.109","1:51:05.573","Green","Track","27.009","44.203","45.897"
"71","GS","Robin Liddell","49","1:57.260","1:51:08.861","Green","Track","26.951","44.477","45.832"
"69","GS","Michael de Quesada","49","1:58.121","1:51:10.338","Green","Track","27.516","44.719","45.886"
"82","GS","Scott Blind","49","1:58.798","1:51:14.792","Green","Track","27.264","45.006","46.528"
"6","TCR","Bryan Ortiz","48","1:59.682","1:51:20.721","Green","Track","27.886","45.295","46.501"
"93","TCR","Karl Wittmer","49","1:58.183","1:51:45.400","Green","Track","27.431","44.668","46.084"
"92","GS","Kenton Koch","50","1:57.069","1:51:45.994","Green","Track","27.122","44.071","45.876"
"64","GS","Hugh Plumb","49","1:57.483","1:51:49.049","Green","Track","27.017","44.456","46.010"
"57","GS","Daniel Morad","50","1:57.480","1:51:49.365","Green","Track","26.993","44.476","46.011"
"46","GS","Matt Plumb","50","1:57.164","1:51:50.173","Green","Track","26.884","44.482","45.798"
"95","GS","Robert Megennis","50","1:57.394","1:52:00.081","Green","Track","27.113","44.308","45.973"
"39","GS","Jeff Westphal","50","1:57.263","1:52:00.198","Green","Track","27.007","44.402","45.854"
"59","GS","Luca Mars","49","2:43.827","1:52:01.042","Green","Track","71.574","46.242","46.011"
"88","GS","Aaron Telitz","50","1:58.085","1:52:03.923","Green","Track","26.845","45.243","45.997"
"19","GS","Valentin Hasse Clot","50","1:58.933","1:52:04.471","Green","Track","27.053","45.669","46.211"
"89","TCR","Chad Gilsinger","32","2:01.585","1:52:05.145","Green","Track","28.068","45.557","47.960"
"13","GS","Chad McCumbee","50","1:57.565","1:52:16.625","Green","Track","26.953","44.584","46.028"
"43","GS","Gregory Liefooghe","49","2:28.363","1:52:18.772","Green","Track","57.260","44.903","46.200"
"55","TCR","Eduardo Gou","49","2:01.556","1:52:24.032","Green","Track","28.211","45.758","47.587"
"96","GS","Robby Foley","50","1:57.129","1:52:24.078","Green","Track","27.174","44.141","45.814"
"44","GS","Michael Cooper","50","1:57.348","1:52:37.793","Green","Track","27.133","44.309","45.906"
"17","TCR","Mikey Taylor","50","1:58.571","1:52:41.615","Green","Track","27.238","44.908","46.425"
"33","TCR","Robert Wickens","50","1:59.251","1:52:44.774","Green","Track","27.758","45.070","46.423"
"34","GS","Jesse Webb","50","1:58.694","1:52:45.443","Green","Track","27.199","45.107","46.388"
"61","TCR","Jon Morley","50","1:58.823","1:52:52.210","Green","Track","27.390","44.691","46.742"
"91","GS","Riley Dickinson","50","1:58.565","1:52:52.966","Green","Track","27.948","44.459","46.158"
"67","GS","Sebastian Carazo","50","2:00.611","1:52:54.892","Green","Track","28.645","45.323","46.643"
"77","TCR","Bryson Morris","50","2:00.386","1:52:55.125","Green","Track","28.591","45.152","46.643"
"76","TCR","Denis Dupont","50","2:00.362","1:52:55.419","Green","Track","28.471","45.159","46.732"
"98","TCR","Mark Wilkins","50","1:59.036","1:52:58.570","Green","Track","27.792","44.840","46.404"
"5","TCR","Tim Lewis","36","1:58.013","1:53:01.079","Green","Track","27.308","44.663","46.042"
"28","GS","Stevan McAleer","50","1:57.034","1:53:02.607","Green","Track","27.030","44.136","45.868"
"16","GS","Will Lambros","50","2:12.631","1:53:07.039","Green","Pit","28.306","44.516","59.809"
"69","GS","Michael de Quesada","50","1:58.733","1:53:09.071","Green","Track","27.663","44.871","46.199"
"99","TCR","Tyler Gonzalez","48","3:31.556","1:53:12.816","Green","Track","120.036","44.503","47.017"
"82","GS","Scott Blind","50","1:59.552","1:53:14.344","Green","Track","27.360","45.211","46.981"
"6","TCR","Bryan Ortiz","49","2:00.469","1:53:21.190","Green","Track","27.894","45.718","46.857"
"71","GS","Robin Liddell","50","2:22.439","1:53:31.300","Green","Pit","26.987","44.465","70.987"
"93","TCR","Karl Wittmer","50","1:58.813","1:53:44.213","Green","Track","27.453","45.138","46.222"
"46","GS","Matt Plumb","51","1:57.818","1:53:47.991","Green","Track","26.899","44.799","46.120"
"64","GS","Hugh Plumb","50","2:02.833","1:53:51.882","Green","Track","30.748","45.470","46.615"
"92","GS","Kenton Koch","51","2:08.877","1:53:54.871","Green","Pit","27.125","44.229","57.523"
"39","GS","Jeff Westphal","51","1:57.572","1:53:57.770","Green","Track","27.223","44.463","45.886"
"95","GS","Robert Megennis","51","1:58.271","1:53:58.352","Green","Track","27.209","44.419","46.643"
"57","GS","Daniel Morad","51","2:09.009","1:53:58.374","Green","Pit","27.207","43.973","57.829"
"59","GS","Luca Mars","50","1:58.370","1:53:59.412","Green","Track","27.259","44.864","46.247"
"88","GS","Aaron Telitz","51","1:57.466","1:54:01.389","Green","Track","27.059","44.445","45.962"
"19","GS","Valentin Hasse Clot","51","1:57.477","1:54:01.948","Green","Track","27.192","44.344","45.941"
"89","TCR","Chad Gilsinger","33","2:00.484","1:54:05.629","Green","Track","28.123","45.504","46.857"
"13","GS","Chad McCumbee","51","1:57.361","1:54:13.986","Green","Track","27.107","44.384","45.870"
"96","GS","Robby Foley","51","1:58.076","1:54:22.154","Green","Track","27.447","44.232","46.397"
"55","TCR","Eduardo Gou","50","2:01.721","1:54:25.753","Green","Track","28.032","45.877","47.812"
"73","TCR","Tazio Ottis","45","3:47.144","1:54:30.446","Green","Pit","29.292","48.234","149.618"
"43","GS","Gregory Liefooghe","50","2:15.571","1:54:34.343","Green","Pit","27.593","47.157","60.821"
"44","GS","Michael Cooper","51","1:57.393","1:54:35.186","Green","Track","27.260","44.389","45.744"
"17","TCR","Mikey Taylor","51","1:58.901","1:54:40.516","Green","Track","27.233","45.501","46.167"
"34","GS","Jesse Webb","51","1:58.282","1:54:43.725","Green","Track","27.294","44.829","46.159"
"33","TCR","Robert Wickens","51","1:59.844","1:54:44.618","Green","Track","27.829","45.423","46.592"
"61","TCR","Jon Morley","51","1:58.453","1:54:50.663","Green","Track","27.547","44.522","46.384"
"91","GS","Riley Dickinson","51","1:58.130","1:54:51.096","Green","Track","27.246","44.640","46.244"
"67","GS","Sebastian Carazo","51","1:58.304","1:54:53.196","Green","Track","27.253","44.710","46.341"
"77","TCR","Bryson Morris","51","1:58.854","1:54:53.979","Green","Track","27.845","44.615","46.394"
"76","TCR","Denis Dupont","51","1:58.944","1:54:54.363","Green","Track","27.878","44.638","46.428"
