"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"7","GTP","Matt Campbell","2","3:37.210","5:24.304","Yellow","Track","47.269","90.583","79.358"
"60","GTP","Colin Braun","2","3:37.248","5:25.815","Yellow","Track","46.591","90.594","80.063"
"5","GTP","Mike Rockenfeller","2","3:36.656","5:26.917","Yellow","Track","46.562","90.693","79.401"
"52","LMP2","Ben Keating","2","3:36.888","5:28.669","Yellow","Track","47.101","89.331","80.456"
"8","LMP2","Salih Yoluc","2","3:37.119","5:29.509","Yellow","Track","47.194","89.835","80.090"
"04","LMP2","George Kurtz","2","3:37.282","5:30.805","Yellow","Track","46.876","89.740","80.666"
"11","LMP2","Steven Thomas","2","3:36.497","5:32.007","Yellow","Track","45.918","89.731","80.848"
"18","LMP2","Dwight Merriman","2","3:35.832","5:33.032","Yellow","Track","45.178","89.897","80.757"
"35","LMP2","John Falb","2","3:37.001","5:34.852","Yellow","Track","45.206","90.018","81.777"
"51","LMP2","Eric Lux","2","3:37.261","5:36.393","Yellow","Track","44.833","90.201","82.227"
"88","LMP2","Luis Perez Companc","2","3:37.039","5:37.412","Yellow","Track","44.294","90.496","82.249"
"4","LMP3","Tonis Kasemets","2","3:37.314","5:38.597","Yellow","Track","44.612","90.371","82.331"
"20","LMP2","Mark Kvamme","2","3:37.134","5:39.315","Yellow","Track","45.024","89.834","82.276"
"13","LMP3","Orey Fidani","2","3:37.621","5:40.670","Yellow","Track","45.336","89.603","82.682"
"74","LMP3","Gar Robinson","2","3:38.132","5:42.464","Yellow","Track","45.445","89.008","83.679"
"36","LMP3","Glenn van Berlo","2","3:37.817","5:43.414","Yellow","Track","45.081","89.082","83.654"
"30","LMP3","Dylan Murry","2","3:37.974","5:44.068","Yellow","Track","45.502","88.925","83.547"
"85","LMP3","Till Bechtolsheimer","2","3:38.118","5:45.298","Yellow","Track","45.505","88.703","83.910"
"33","LMP3","Lance Willsey","2","3:38.310","5:46.519","Yellow","Track","45.535","88.399","84.376"
"38","LMP3","Christopher Allen","2","3:37.643","5:46.944","Yellow","Track","45.355","88.388","83.900"
"54","LMP3","Jason Rabe","2","3:37.391","5:48.810","Yellow","Track","44.557","88.322","84.512"
"17","LMP3","Anthony Mantella","2","3:37.460","5:49.775","Yellow","Track","44.706","87.896","84.858"
"78","GTD","Loris Spinelli","2","2:39.839","5:51.576","Yellow","Track","45.892","55.292","58.655"
"63","GTDPRO","Jordan Pepper","2","2:39.716","5:53.029","Yellow","Track","44.925","55.951","58.840"
"62","GTDPRO","Daniel Serra","2","2:39.626","5:53.824","Yellow","Track","44.483","56.200","58.943"
"12","GTD","Aaron Telitz","2","2:38.945","5:54.967","Yellow","Track","44.979","56.314","57.652"
"14","GTDPRO","Jack Hawksworth","2","2:38.570","5:55.809","Yellow","Track","44.423","56.545","57.602"
"79","GTDPRO","Jules Gounon","2","2:38.541","5:56.471","Yellow","Track","44.612","56.815","57.114"
"83","GTD","Doriane Pin","2","2:38.375","5:57.567","Yellow","Track","44.694","57.176","56.505"
"1","GTD","Madison Snow","2","2:41.503","6:02.212","Yellow","Track","46.256","57.441","57.806"
