"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"60","DPi","Tom Blomqvist","1","1:12.430","1:12.430","Green","Track","8.884","38.257","25.288"
"02","DPi","Earl Bamber","1","1:13.351","1:13.351","Green","Track","9.112","38.671","25.409"
"5","DPi","Tristan Vautier","1","1:15.128","1:15.128","Green","Track","9.307","39.775","25.538"
"01","DPi","Sebastien Bourdais","1","1:15.703","1:15.703","Green","Track","9.400","40.033","25.710"
"48","DPi","Kamui Kobayashi","1","1:16.221","1:16.221","Green","Track","9.406","40.161","25.902"
"31","DPi","Pipo Derani","1","1:16.563","1:16.563","Green","Track","9.660","40.027","25.952"
"11","LMP2","Steven Thomas","1","1:18.289","1:18.289","Green","Track","9.789","40.943","26.383"
"20","LMP2","Dennis Andersen","1","1:19.437","1:19.437","Green","Track","9.990","41.319","26.725"
"52","LMP2","Ben Keating","1","1:19.861","1:19.861","Green","Track","10.107","41.844","26.205"
"81","LMP2","Henrik Hedman","1","1:20.878","1:20.878","Green","Track","10.069","41.987","26.727"
"8","LMP2","John Farano","1","1:21.986","1:21.986","Green","Track","10.417","42.667","27.023"
"10","DPi","Ricky Taylor","1","1:23.633","1:23.633","Green","Pit","9.263","39.563","34.439"
"74","LMP3","Kay van Berlo","1","1:23.820","1:23.820","Green","Track","10.357","43.445","27.894"
"33","LMP3","Malthe Jakobsen","1","1:24.300","1:24.300","Green","Track","10.540","43.774","27.704"
"36","LMP3","Jarett Andretti","1","1:25.173","1:25.173","Green","Track","10.424","44.107","28.283"
"13","LMP3","Orey Fidani","1","1:25.589","1:25.589","Green","Track","10.568","44.124","28.263"
"54","LMP3","Jon Bennett","1","1:27.610","1:27.610","Green","Track","10.830","45.257","28.659"
"30","LMP3","Ari Balogh","1","1:27.973","1:27.973","Green","Track","10.946","45.608","28.449"
"38","LMP3","Dan Goldburg","1","1:34.974","1:34.974","Green","Pit","10.607","44.397","36.965"
"76","LMP3","Anthony Mantella","1","1:40.300","1:40.300","Green","Pit","10.644","46.268","39.895"
"14","GTDPRO","Jack Hawksworth","1","1:54.349","1:54.349","Green","Track","10.365","43.100","28.664"
"1","GTD","Madison Snow","1","1:54.931","1:54.931","Green","Track","10.465","43.361","28.570"
"23","GTDPRO","Alex Riberas","1","1:55.467","1:55.467","Green","Track","10.771","43.488","28.533"
"25","GTDPRO","Jesse Krohn","1","1:55.895","1:55.895","Green","Track","10.757","43.842","28.481"
"3","GTDPRO","Antonio Garcia","1","1:56.606","1:56.606","Green","Track","10.889","44.187","28.566"
"42","GTD","Jaden Conwright","1","1:56.988","1:56.988","Green","Track","10.860","44.252","28.632"
"62","GTDPRO","James Calado","1","1:58.395","1:58.395","Green","Track","10.909","45.074","28.667"
"32","GTD","Stevan McAleer","1","1:59.147","1:59.147","Green","Track","10.953","45.278","28.973"
"39","GTD","Robert Megennis","1","1:59.707","1:59.707","Green","Track","11.135","45.240","29.441"
"12","GTD","Richard Heistand","1","1:59.966","1:59.966","Green","Track","10.907","45.666","29.857"
"57","GTD","Russell Ward","1","2:00.260","2:00.260","Green","Track","10.916","46.181","28.948"
"9","GTDPRO","Felipe Nasr","1","2:00.473","2:00.473","Green","Track","11.194","46.359","28.583"
"79","GTDPRO","Maximilian Buhk","1","2:00.895","2:00.895","Green","Track","11.086","46.438","29.187"
"27","GTD","Roman De Angelis","1","2:01.134","2:01.134","Green","Track","11.263","46.887","28.959"
"16","GTD","Zacharie Robichon","1","2:01.439","2:01.439","Green","Track","11.320","46.896","28.742"
"21","GTD","Simon Mann","1","2:01.939","2:01.939","Green","Track","11.377","46.845","29.117"
"47","GTD","Giorgio Sernagiotto","1","2:02.283","2:02.283","Green","Track","11.229","47.083","29.200"
"96","GTD","Robby Foley","1","2:02.543","2:02.543","Green","Track","11.042","46.977","29.368"
"70","GTD","Brendan Iribe","1","2:02.817","2:02.817","Green","Track","11.582","46.979","29.261"
"66","GTD","Till Bechtolsheimer","1","2:03.387","2:03.387","Green","Track","11.510","47.486","28.981"
"44","GTD","John Potter","1","2:03.898","2:03.898","Green","Track","11.622","47.645","29.589"
"99","GTD","Nick Boulle","1","2:04.236","2:04.236","Green","Track","11.788","47.544","29.583"
"18","LMP2","Dwight Merriman","1","2:16.802","2:16.802","Green","Pit","0.000","46.520","39.057"
"60","DPi","Tom Blomqvist","2","1:10.870","2:23.300","Green","Track","8.225","37.675","24.970"
"02","DPi","Earl Bamber","2","1:10.904","2:24.255","Green","Track","8.258","37.650","24.996"
"5","DPi","Tristan Vautier","2","1:10.632","2:25.760","Green","Track","8.197","37.416","25.019"
"01","DPi","Sebastien Bourdais","2","1:11.585","2:27.288","Green","Track","8.352","37.995","25.238"
