"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"96","GTD","Michael Dinan","27","3:44.585","1:02:52.972","Yellow","Track","55.213","84.058","85.314"
"11","LMP2","Steven Thomas","29","3:46.966","1:02:52.971","Yellow","Pit","54.166","85.530","87.270"
"12","GTD","Richard Heistand","27","3:43.612","1:02:54.374","Yellow","Track","55.410","83.852","84.350"
"32","GTD","Stevan McAleer","27","3:43.617","1:02:55.701","Yellow","Track","55.128","84.211","84.278"
"52","LMP2","Ben Keating","29","3:47.073","1:02:56.371","Yellow","Pit","55.437","84.070","87.566"
"3","GTDPRO","Jordan Taylor","27","3:42.240","1:02:56.576","Yellow","Track","54.764","83.439","84.037"
"9","GTDPRO","Matt Campbell","27","3:42.474","1:02:58.100","Yellow","Track","54.705","83.390","84.379"
"62","GTDPRO","Davide Rigon","27","3:42.495","1:02:59.521","Yellow","Track","54.697","83.644","84.154"
"1","GTD","Erik Johansson","27","3:42.675","1:03:00.641","Yellow","Track","54.558","83.697","84.420"
"57","GTD","Russell Ward","27","3:42.562","1:03:01.471","Yellow","Track","54.573","83.523","84.466"
"79","GTDPRO","Cooper MacNeil","27","3:42.734","1:03:03.229","Yellow","Track","54.691","83.108","84.935"
"20","LMP2","Dennis Andersen","29","3:42.452","1:03:04.061","Yellow","Track","54.702","83.207","84.543"
"27","GTD","Ian James","27","3:42.503","1:03:05.394","Yellow","Track","55.692","81.582","85.229"
"5","DPi","Tristan Vautier","29","3:25.987","1:03:05.739","Yellow","Track","55.756","79.438","70.793"
"70","GTD","Brendan Iribe","27","3:42.296","1:03:06.424","Yellow","Track","56.053","81.448","84.795"
"48","DPi","Jimmie Johnson","29","3:25.846","1:03:06.515","Yellow","Track","55.963","78.949","70.934"
"18","LMP2","Dwight Merriman","29","3:43.428","1:03:08.616","Yellow","Track","55.986","81.361","86.081"
"59","GTD","Patrick Gallagher","27","3:43.570","1:03:10.040","Yellow","Track","56.178","81.260","86.132"
"29","LMP2","Frits Van Eerd","29","3:41.333","1:03:11.124","Yellow","Track","57.046","80.563","83.724"
"38","LMP3","Dan Goldburg","29","3:41.187","1:03:12.091","Yellow","Track","56.949","80.367","83.871"
"8","LMP2","John Farano","29","3:43.979","1:03:12.705","Yellow","Pit","56.593","80.536","86.850"
"40","LMP3","Max Hanratty","29","3:41.167","1:03:13.230","Yellow","Track","57.041","79.999","84.127"
"54","LMP3","Jon Bennett","29","3:41.141","1:03:14.632","Yellow","Track","57.499","79.303","84.339"
"74","LMP3","Gar Robinson","29","3:41.145","1:03:16.275","Yellow","Track","56.745","79.835","84.565"
"13","LMP3","Orey Fidani","29","3:40.660","1:03:17.116","Yellow","Track","56.488","79.790","84.382"
"30","LMP3","Ari Balogh","29","3:40.389","1:03:18.037","Yellow","Track","56.089","80.183","84.117"
"36","LMP3","Jarett Andretti","29","3:37.509","1:03:19.028","Yellow","Track","55.902","79.093","82.514"
"58","LMP3","Josh Sarchet","29","3:37.635","1:03:20.175","Yellow","Track","56.395","78.461","82.779"
"6","LMP3","Dillon Machavern","29","3:37.702","1:03:21.065","Yellow","Track","56.515","78.844","82.343"
