"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"64","GTDPRO","Mike Rockenfeller","38","2:18.271","54:33.080","Yellow","Track","57.357","55.861","25.053"
"12","GTD","Frankie Montecalvo","38","2:17.265","54:33.671","Yellow","Track","56.789","56.745","23.731"
"70","GTD","Frederik Schandorff","37","2:16.881","54:34.356","Yellow","Track","56.720","56.623","23.538"
"65","GTDPRO","Dirk Mueller","38","2:16.422","54:35.034","Yellow","Track","56.150","56.695","23.577"
"43","GTD","Gabby Chaves","37","2:15.655","54:35.759","Yellow","Track","55.844","56.046","23.765"
"9","GTDPRO","Oliver Jarvis","38","2:14.562","54:36.775","Yellow","Track","54.635","56.242","23.685"
"66","GTD","Stevan McAleer","37","2:13.789","54:38.774","Yellow","Track","54.750","55.593","23.446"
"34","GTD","Albert Costa Balboa","37","2:13.821","54:40.812","Yellow","Track","54.402","55.598","23.821"
"4","GTDPRO","Tommy Milner","38","2:12.785","54:42.642","Yellow","Track","52.426","56.190","24.169"
"77","GTDPRO","Laurin Heinrich","38","2:12.864","54:43.448","Yellow","Track","52.502","56.355","24.007"
"14","GTDPRO","Jack Hawksworth","38","2:12.599","54:44.210","Yellow","Track","52.338","55.879","24.382"
"1","GTDPRO","Madison Snow","38","2:12.919","54:45.412","Yellow","Track","52.161","56.072","24.686"
"23","GTDPRO","Ross Gunn","38","2:13.065","54:46.586","Yellow","Track","52.322","56.283","24.460"
"557","GTD","Robby Foley","38","1:34.407","54:50.553","Yellow","Track","36.392","38.001","20.014"
"78","GTD","Misha Goikhberg","38","1:35.121","54:51.555","Yellow","Track","36.982","38.509","19.630"
"86","GTD","Kerong Li","37","1:34.423","54:58.028","Yellow","Track","34.855","39.830","19.738"
"57","GTD","Philip Ellis","38","1:33.779","54:59.104","Yellow","Track","34.589","39.195","19.995"
"13","GTD","Matthew Bell","37","1:34.887","55:02.075","Yellow","Track","36.059","39.070","19.758"
"32","GTD","Mikael Grenier","38","1:34.216","55:03.642","Yellow","Track","35.652","38.719","19.845"
"31","GTP","Pipo Derani","41","2:43.001","55:06.095","Yellow","Pit","54.873","55.464","52.664"
"6","GTP","Mathieu Jaminet","41","3:02.380","55:06.579","Yellow","Pit","55.584","59.408","67.388"
"40","GTP","Louis Deletraz","41","3:02.199","55:08.799","Yellow","Pit","55.319","58.971","67.909"
"01","GTP","Sebastien Bourdais","41","3:08.458","55:10.045","Yellow","Pit","54.849","60.528","73.081"
"24","GTP","Philipp Eng","41","3:07.250","55:10.789","Yellow","Pit","55.632","59.731","71.887"
"85","GTP","Tijmen van der Helm","41","3:01.746","55:12.961","Yellow","Pit","55.981","57.413","68.352"
"5","GTP","Bent Viscaal","41","3:06.212","55:16.322","Yellow","Pit","56.431","57.787","71.994"
"7","GTP","Dane Cameron","41","3:10.548","55:18.232","Yellow","Pit","55.122","58.510","76.916"
"10","GTP","Filipe Albuquerque","41","2:18.014","56:45.947","Yellow","Track","54.035","57.877","26.102"
"25","GTP","Nick Yelloly","41","2:18.087","56:46.730","Yellow","Track","53.963","57.844","26.280"
"27","GTD","Roman De Angelis","38","2:17.549","56:48.006","Yellow","Track","54.910","56.646","25.993"
"55","GTD","Corey Lewis","38","2:17.997","56:49.593","Yellow","Track","54.803","56.188","27.006"
"120","GTD","Elliott Skeer","38","2:17.754","56:49.955","Yellow","Track","54.719","56.483","26.552"
"12","GTD","Frankie Montecalvo","39","2:17.337","56:51.008","Yellow","Track","55.025","56.248","26.064"
"70","GTD","Frederik Schandorff","38","2:17.901","56:52.257","Yellow","Track","55.502","56.560","25.839"
"43","GTD","Gabby Chaves","38","2:16.993","56:52.752","Yellow","Track","55.194","56.336","25.463"
"9","GTDPRO","Oliver Jarvis","39","2:17.314","56:54.089","Yellow","Track","55.282","56.512","25.520"
"66","GTD","Stevan McAleer","38","2:16.267","56:55.041","Yellow","Track","54.772","56.906","24.589"
"34","GTD","Albert Costa Balboa","38","2:15.035","56:55.847","Yellow","Track","54.515","57.118","23.402"
"4","GTDPRO","Tommy Milner","39","2:14.535","56:57.177","Yellow","Track","53.928","57.639","22.968"
"77","GTDPRO","Laurin Heinrich","39","2:14.927","56:58.375","Yellow","Track","54.086","57.969","22.872"
"14","GTDPRO","Jack Hawksworth","39","2:14.910","56:59.120","Yellow","Track","54.264","57.911","22.735"
"1","GTDPRO","Madison Snow","39","2:14.480","56:59.892","Yellow","Track","54.036","57.418","23.026"
"557","GTD","Robby Foley","39","2:10.397","57:00.950","Yellow","Track","50.932","57.363","22.102"
"57","GTD","Philip Ellis","39","2:05.266","57:04.370","Yellow","Track","44.921","59.506","20.839"
"13","GTD","Matthew Bell","38","2:03.276","57:05.351","Yellow","Track","42.953","59.621","20.702"
"32","GTD","Mikael Grenier","39","2:02.790","57:06.432","Yellow","Track","43.169","58.852","20.769"
"31","GTP","Jack Aitken","42","2:04.935","57:11.030","Yellow","Track","43.894","58.477","22.564"
"6","GTP","Nick Tandy","42","2:09.293","57:15.872","Yellow","Track","47.827","56.180","25.286"
"40","GTP","Jordan Taylor","42","2:09.767","57:18.566","Yellow","Track","47.338","56.974","25.455"
"01","GTP","Renger van der Zande","42","2:09.404","57:19.449","Yellow","Track","49.519","54.204","25.681"
"24","GTP","Jesse Krohn","42","2:09.841","57:20.630","Yellow","Track","50.618","53.808","25.415"
"85","GTP","Richard Westbrook","42","2:08.881","57:21.842","Yellow","Track","50.263","53.870","24.748"
"5","GTP","Gianmaria Bruni","42","2:08.695","57:25.017","Yellow","Track","49.694","52.146","26.855"
"7","GTP","Felipe Nasr","42","2:08.088","57:26.320","Yellow","Track","50.298","51.290","26.500"
"23","GTDPRO","Ross Gunn","39","2:44.639","57:31.225","Yellow","Pit","53.497","57.264","53.878"
"3","GTDPRO","Antonio Garcia","39","3:07.472","57:34.754","Yellow","Pit","53.852","57.987","75.633"
"45","GTD","Danny Formal","39","3:05.056","57:35.203","Yellow","Pit","54.385","56.740","73.931"
"64","GTDPRO","Mike Rockenfeller","39","3:04.371","57:37.451","Yellow","Pit","54.690","56.109","73.572"
"65","GTDPRO","Dirk Mueller","39","3:03.077","57:38.111","Yellow","Pit","55.476","56.232","71.369"
"78","GTD","Misha Goikhberg","39","2:54.348","57:45.903","Yellow","Pit","50.473","57.080","66.795"
"86","GTD","Kerong Li","38","3:06.020","58:04.048","Yellow","Pit","44.962","57.393","83.665"
"10","GTP","Filipe Albuquerque","42","1:42.173","58:28.120","Yellow","Track","43.753","40.405","18.015"
"25","GTP","Nick Yelloly","42","1:41.860","58:28.590","Yellow","Track","43.937","39.907","18.016"
"27","GTD","Roman De Angelis","39","1:43.750","58:31.756","Yellow","Track","43.690","40.918","19.142"
"55","GTD","Corey Lewis","39","1:43.941","58:33.534","Yellow","Track","42.959","42.361","18.621"
"120","GTD","Elliott Skeer","39","1:44.070","58:34.025","Yellow","Track","42.948","42.494","18.628"
"12","GTD","Frankie Montecalvo","40","2:02.367","58:53.375","Yellow","Track","42.480","53.146","26.741"
"70","GTD","Frederik Schandorff","39","2:02.060","58:54.317","Yellow","Track","42.103","52.802","27.155"
"43","GTD","Gabby Chaves","39","2:02.092","58:54.844","Yellow","Track","42.533","52.327","27.232"
"9","GTDPRO","Oliver Jarvis","40","2:02.303","58:56.392","Yellow","Track","42.210","52.076","28.017"
"66","GTD","Stevan McAleer","39","2:02.632","58:57.673","Yellow","Track","42.229","51.825","28.578"
"34","GTD","Albert Costa Balboa","39","2:02.856","58:58.703","Yellow","Track","42.922","51.076","28.858"
"4","GTDPRO","Tommy Milner","40","2:02.862","59:00.039","Yellow","Track","43.456","50.314","29.092"
"77","GTDPRO","Laurin Heinrich","40","2:02.061","59:00.436","Yellow","Track","43.125","50.120","28.816"
"14","GTDPRO","Jack Hawksworth","40","2:02.103","59:01.223","Yellow","Track","43.257","49.888","28.958"
"1","GTDPRO","Madison Snow","40","2:03.179","59:03.071","Yellow","Track","43.092","50.044","30.043"
"557","GTD","Robby Foley","40","2:04.322","59:05.272","Yellow","Track","43.339","50.162","30.821"
"57","GTD","Philip Ellis","40","2:01.908","59:06.278","Yellow","Track","41.657","49.758","30.493"
"13","GTD","Matthew Bell","39","2:01.952","59:07.303","Yellow","Track","41.336","50.291","30.325"
"32","GTD","Mikael Grenier","40","2:02.199","59:08.631","Yellow","Track","42.229","49.962","30.008"
"31","GTP","Jack Aitken","43","1:58.744","59:09.774","Yellow","Track","40.219","49.372","29.153"
"6","GTP","Nick Tandy","43","1:55.065","59:10.937","Yellow","Track","37.534","49.226","28.305"
"40","GTP","Jordan Taylor","43","1:54.596","59:13.162","Yellow","Track","35.924","49.381","29.291"
"01","GTP","Renger van der Zande","43","1:54.674","59:14.123","Yellow","Track","36.846","48.698","29.130"
"24","GTP","Jesse Krohn","43","1:54.909","59:15.539","Yellow","Track","36.325","48.924","29.660"
"85","GTP","Richard Westbrook","43","1:54.822","59:16.664","Yellow","Track","37.485","48.035","29.302"
"5","GTP","Gianmaria Bruni","43","1:53.069","59:18.086","Yellow","Track","37.627","45.897","29.545"
"23","GTDPRO","Ross Gunn","40","1:47.578","59:18.803","Yellow","Track","41.473","41.423","24.682"
"3","GTDPRO","Alexander Sims","40","1:45.812","59:20.566","Yellow","Track","41.008","40.618","24.186"
"45","GTD","Kyle Marcelli","40","1:46.318","59:21.521","Yellow","Track","41.170","40.926","24.222"
"64","GTDPRO","Mike Rockenfeller","40","1:54.395","59:31.846","Yellow","Track","48.597","44.442","21.356"
"65","GTDPRO","Joey Hand","40","1:54.250","59:32.361","Yellow","Track","48.437","44.913","20.900"
"78","GTD","Loris Spinelli","40","1:47.246","59:33.149","Yellow","Track","41.298","45.873","20.075"
"86","GTD","Anders Fjordbach","39","1:36.885","59:40.933","Yellow","Track","40.380","37.446","19.059"
"7","GTP","Felipe Nasr","43","2:15.941","59:42.261","Yellow","Pit","38.051","46.355","51.535"
"10","GTP","Filipe Albuquerque","43","1:23.887","59:52.007","Yellow","Track","30.037","36.773","17.077"
"27","GTD","Roman De Angelis","40","1:25.800","59:57.556","Yellow","Track","31.179","36.040","18.581"
"55","GTD","Corey Lewis","40","1:25.022","59:58.556","Yellow","Track","30.767","35.907","18.348"
"120","GTD","Elliott Skeer","40","1:24.829","59:58.854","Yellow","Track","30.607","35.940","18.282"
"25","GTP","Nick Yelloly","43","1:56.929","1:00:25.519","Yellow","Pit","29.752","36.995","50.182"
"6","GTP","Nick Tandy","44","1:59.669","1:01:10.606","Yellow","Track","41.485","48.612","29.572"
"31","GTP","Jack Aitken","44","2:02.274","1:01:12.048","Yellow","Track","43.561","48.586","30.127"
"01","GTP","Renger van der Zande","44","1:59.247","1:01:13.370","Yellow","Track","40.217","48.781","30.249"
"40","GTP","Jordan Taylor","44","2:03.120","1:01:16.282","Yellow","Track","42.110","49.240","31.770"
"24","GTP","Jesse Krohn","44","2:02.367","1:01:17.906","Yellow","Track","40.571","48.967","32.829"
"85","GTP","Richard Westbrook","44","2:02.629","1:01:19.293","Yellow","Track","40.193","48.828","33.608"
"5","GTP","Gianmaria Bruni","44","2:02.677","1:01:20.763","Yellow","Track","40.024","48.425","34.228"
"10","GTP","Filipe Albuquerque","44","1:29.331","1:01:21.338","Yellow","Track","28.282","38.043","23.006"
"7","GTP","Felipe Nasr","44","1:39.984","1:01:22.245","Yellow","Track","36.471","40.186","23.327"
"12","GTD","Frankie Montecalvo","41","2:29.341","1:01:22.716","Yellow","Track","49.743","59.430","40.168"
"70","GTD","Frederik Schandorff","40","2:29.302","1:01:23.619","Yellow","Track","49.584","59.396","40.322"
"43","GTD","Gabby Chaves","40","2:29.625","1:01:24.469","Yellow","Track","49.984","59.006","40.635"
