"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","GTP","Pipo Derani","1","1:52.912","1:52.912","Yellow","Track","11.130","70.649","31.132"
"10","GTP","Ricky Taylor","1","1:53.820","1:53.820","Yellow","Track","10.901","71.447","31.261"
"01","GTP","Sebastien Bourdais","1","1:54.572","1:54.572","Yellow","Track","11.064","71.858","31.381"
"6","GTP","Mathieu Jaminet","1","1:55.484","1:55.484","Yellow","Track","11.215","71.973","31.807"
"60","GTP","Tom Blomqvist","1","1:56.659","1:56.659","Yellow","Track","11.421","72.196","32.286"
"24","GTP","Augusto Farfus","1","1:57.342","1:57.342","Yellow","Track","11.672","72.421","32.578"
"7","GTP","Matt Campbell","1","1:58.499","1:58.499","Yellow","Track","11.462","72.541","33.297"
"25","GTP","Connor De Phillippi","1","1:58.985","1:58.985","Yellow","Track","11.530","73.000","33.290"
"52","LMP2","Ben Keating","1","2:03.540","2:03.540","Yellow","Track","11.897","74.890","34.812"
"35","LMP2","Francois Heriau","1","2:04.070","2:04.070","Yellow","Track","12.184","74.729","34.944"
"11","LMP2","Steven Thomas","1","2:04.988","2:04.988","Yellow","Track","12.266","75.837","34.535"
"20","LMP2","Dennis Andersen","1","2:06.136","2:06.136","Yellow","Track","12.441","76.282","34.723"
"04","LMP2","George Kurtz","1","2:06.918","2:06.918","Yellow","Track","12.605","76.713","34.888"
"8","LMP2","John Farano","1","2:08.650","2:08.650","Yellow","Track","12.763","76.753","36.092"
"18","LMP2","Dwight Merriman","1","2:09.451","2:09.451","Yellow","Track","12.382","77.215","36.146"
"51","LMP2","Eric Lux","1","2:11.092","2:11.092","Yellow","Track","12.713","77.173","37.406"
"36","LMP3","Glenn van Berlo","1","2:12.167","2:12.167","Yellow","Track","12.763","78.261","37.102"
"85","LMP3","Dan Goldburg","1","2:13.271","2:13.271","Yellow","Track","12.736","78.903","37.342"
"74","LMP3","Gar Robinson","1","2:16.940","2:16.940","Yellow","Track","12.407","79.715","40.249"
"30","LMP3","Ari Balogh","1","2:17.822","2:17.822","Yellow","Track","12.701","79.548","40.795"
"17","LMP3","Anthony Mantella","1","2:18.395","2:18.395","Yellow","Track","12.535","79.629","41.065"
"38","LMP3","Christopher Allen","1","2:18.832","2:18.832","Yellow","Track","12.677","79.846","40.905"
"13","LMP3","Orey Fidani","1","2:19.450","2:19.450","Yellow","Track","13.530","78.930","41.153"
"4","LMP3","Tonis Kasemets","1","2:21.466","2:21.466","Yellow","Track","13.798","78.851","42.516"
"3","GTDPRO","Antonio Garcia","1","2:34.421","2:34.421","Yellow","Track","13.105","77.775","46.888"
"14","GTDPRO","Jack Hawksworth","1","2:35.452","2:35.452","Yellow","Track","13.724","77.888","46.950"
"93","GTD","Kyle Marcelli","1","2:35.968","2:35.968","Yellow","Track","14.237","77.881","46.784"
"23","GTDPRO","Alex Riberas","1","2:39.485","2:39.485","Yellow","Track","14.278","78.218","49.731"
"12","GTD","Aaron Telitz","1","2:40.099","2:40.099","Yellow","Track","14.276","78.876","49.530"
"1","GTD","Madison Snow","1","2:40.985","2:40.985","Yellow","Track","13.788","79.455","49.929"
"62","GTDPRO","Daniel Serra","1","2:41.896","2:41.896","Yellow","Track","14.364","79.718","50.475"
"023","GTD","Alessio Rovera","1","2:42.349","2:42.349","Yellow","Track","14.227","79.899","50.590"
"96","GTD","Patrick Gallagher","1","2:43.398","2:43.398","Yellow","Track","14.315","80.147","51.070"
"16","GTD","Jan Heylen","1","2:46.950","2:46.950","Yellow","Track","14.375","81.681","53.420"
"78","GTD","Loris Spinelli","1","2:47.348","2:47.348","Yellow","Track","14.217","81.643","53.464"
"63","GTDPRO","Franck Perera","1","2:47.882","2:47.882","Yellow","Track","14.273","81.780","53.709"
"47","GTD","Giorgio Sernagiotto","1","2:48.273","2:48.273","Yellow","Track","13.753","82.061","53.822"
"70","GTD","Brendan Iribe","1","2:49.411","2:49.411","Yellow","Track","14.373","82.269","54.524"
"83","GTD","Michelle Gatting","1","2:49.767","2:49.767","Yellow","Track","13.901","82.165","54.662"
"91","GTD","Alan Metni","1","2:50.479","2:50.479","Yellow","Track","14.377","82.134","54.794"
"21","GTD","Simon Mann","1","2:50.999","2:50.999","Yellow","Track","14.474","83.131","54.859"
"27","GTD","Ian James","1","2:55.055","2:55.055","Yellow","Track","14.582","83.395","58.103"
"44","GTD","John Potter","1","2:55.565","2:55.565","Yellow","Track","14.574","83.536","58.133"
"95","GTDPRO","Bill Auberlen","1","2:56.341","2:56.341","Yellow","Track","14.312","83.356","58.316"
"9","GTDPRO","Klaus Bachler","1","2:57.600","2:57.600","Yellow","Track","15.694","82.989","59.011"
"80","GTD","PJ Hyett","1","2:58.463","2:58.463","Yellow","Track","14.778","84.612","59.440"
