"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"10","GTP","Ricky Taylor","370","1:40.439","14:35:34.304","Green","Track","24.605","46.957","28.877"
"96","GTD","Jens Klingmann","434","1:48.465","14:35:37.114","Green","Track","25.868","50.370","32.227"
"74","LMP2","Felipe Fraga","455","2:49.743","14:35:37.687","Green","Track","91.054","48.764","29.925"
"65","GTDPRO","Joey Hand","434","1:50.118","14:35:41.555","Green","Track","25.906","51.581","32.631"
"83","GTD","Rahel Frey","434","1:47.911","14:35:42.521","Green","Track","25.556","50.111","32.244"
"78","GTD","Devlin Defrancesco","381","1:49.351","14:35:42.982","Green","Track","26.015","50.932","32.404"
"14","GTDPRO","Kyle Kirkwood","396","1:49.700","14:35:52.853","Green","Track","26.183","51.213","32.304"
"19","GTDPRO","Mirko Bortolotti","423","1:47.783","14:35:56.205","Green","Track","25.319","50.313","32.151"
"92","GTD","Alec Udell","431","1:50.002","14:36:04.243","Green","Track","25.911","51.350","32.741"
"81","LMP2","Sebastian Alvarez","453","1:42.250","14:36:05.113","Green","Track","24.305","47.970","29.975"
"23","GTDPRO","Alex Riberas","434","1:49.219","14:36:05.329","Green","Track","25.921","50.991","32.307"
"04","LMP2","Colin Braun","456","1:42.868","14:36:11.621","Green","Track","24.733","47.625","30.510"
"120","GTD","Adam Adelson","434","1:49.154","14:36:12.874","Green","Track","25.915","50.969","32.270"
"8","LMP2","Scott McLaughlin","456","1:55.994","14:36:16.240","Green","Pit","24.685","47.926","43.383"
"3","GTDPRO","Daniel Juncadella","436","1:47.627","14:36:17.043","Green","Track","25.648","50.235","31.744"
"6","GTP","Kevin Estre","468","1:38.524","14:36:17.540","Green","Track","24.416","45.825","28.283"
"62","GTDPRO","Daniel Serra","436","1:47.585","14:36:18.458","Green","Track","25.640","50.521","31.424"
"43","GTD","Gabby Chaves","434","1:49.018","14:36:19.965","Green","Track","26.073","50.887","32.058"
"45","GTD","Ashton Harrison","360","1:52.207","14:36:20.183","Green","Track","26.951","52.545","32.711"
"57","GTD","Indy Dontje","435","1:47.466","14:36:22.563","Green","Track","25.555","50.032","31.879"
"9","GTDPRO","James Hinchcliffe","393","1:47.796","14:36:25.699","Green","Track","25.995","50.264","31.537"
