"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"12","GTD","Frankie Montecalvo","49","2:02.150","1:47:21.461","Green","Track","11.418","76.469","34.263"
"64","GTDPRO","Mike Rockenfeller","49","2:02.077","1:47:22.236","Green","Track","11.520","76.146","34.411"
"62","GTDPRO","Davide Rigon","49","2:01.817","1:47:22.575","Green","Track","11.480","76.208","34.129"
"78","GTD","Misha Goikhberg","49","2:02.291","1:47:27.729","Green","Track","11.593","76.069","34.629"
"57","GTD","Russell Ward","49","2:02.792","1:47:29.063","Green","Track","11.678","76.715","34.399"
"96","GTD","Jake Walker","49","2:02.172","1:47:30.857","Green","Track","11.586","76.460","34.126"
"55","GTD","Ryan Hardwick","46","2:03.784","1:47:36.687","Green","Track","11.781","77.259","34.744"
"40","GTP","Colton Herta","52","1:53.001","1:47:38.315","Green","Track","10.358","70.805","31.838"
"34","GTD","Manny Franco","49","2:04.599","1:47:42.093","Green","Track","11.660","77.565","35.374"
"2","LMP2","Nico Pino","51","1:54.976","1:47:42.453","Green","Track","10.464","71.735","32.777"
"45","GTD","Graham Doyle","48","2:10.134","1:47:43.625","Green","Track","12.556","80.150","37.428"
"44","GTD","John Potter","49","2:03.366","1:47:50.905","Green","Track","11.758","76.950","34.658"
"99","LMP2","Matt Brabham","51","1:53.977","1:47:54.603","Green","Track","10.252","72.127","31.598"
"22","LMP2","Bijoy Garg","51","1:54.695","1:47:56.159","Green","Track","10.381","72.513","31.801"
"47","GTD","Roberto Lacorte","49","2:04.505","1:48:00.669","Green","Track","11.698","77.845","34.962"
"33","LMP2","Joao Barbosa","50","1:56.354","1:48:00.787","Green","Track","11.389","72.124","32.841"
"83","GTD","Sarah Bovy","49","2:04.785","1:48:01.541","Green","Track","11.652","77.977","35.156"
"6","GTP","Fred Makowiecki","52","1:53.198","1:48:04.009","Green","Track","10.562","71.654","30.982"
"80","GTD","Salih Yoluc","49","2:04.557","1:48:08.063","Green","Track","12.056","77.906","34.595"
"27","GTD","Ian James","49","2:04.281","1:48:08.841","Green","Track","11.907","77.456","34.918"
"04","LMP2","George Kurtz","49","1:59.252","1:48:09.489","Green","Track","10.615","75.375","33.262"
"9","GTDPRO","Oliver Jarvis","36","2:03.697","1:48:10.717","Green","Track","11.552","77.416","34.729"
"13","GTD","Orey Fidani","48","2:08.203","1:48:11.679","Green","Track","12.525","79.778","35.900"
"023","GTD","Charles Scardina","49","2:04.792","1:48:12.370","Green","Track","11.731","78.146","34.915"
"74","LMP2","Gar Robinson","51","1:56.845","1:48:13.330","Green","Track","11.119","72.894","32.832"
"18","LMP2","Ryan Dalziel","51","1:54.767","1:48:13.373","Green","Track","10.666","72.237","31.864"
"81","LMP2","Malthe Jakobsen","50","1:54.146","1:48:14.921","Green","Track","10.506","72.142","31.498"
"31","GTP","Pipo Derani","53","2:03.087","1:48:15.112","Green","Pit","10.442","71.785","40.860"
"66","GTD","Sheena Monk","49","2:07.251","1:48:23.452","Green","Track","12.197","79.730","35.324"
"21","GTD","Francois Heriau","49","2:07.408","1:48:24.065","Green","Track","12.214","79.829","35.365"
"43","GTD","Jarett Andretti","49","2:06.421","1:48:24.562","Green","Track","11.954","78.780","35.687"
"52","LMP2","Jakub Smiechowski","51","1:54.883","1:48:27.241","Green","Track","10.681","72.371","31.831"
"25","GTP","Connor De Phillippi","53","2:01.659","1:48:27.655","Green","Pit","10.261","70.992","40.406"
"8","LMP2","Michael Dinan","51","1:55.501","1:48:28.389","Green","Track","10.671","72.862","31.968"
"11","LMP2","Hunter McElrea","51","1:56.539","1:48:29.855","Green","Track","10.607","73.800","32.132"
"63","GTP","Romain Grosjean","52","1:52.371","1:48:30.895","Green","Track","10.977","70.210","31.184"
"20","LMP2","Dennis Andersen","51","1:59.262","1:48:31.470","Green","Track","11.143","75.123","32.996"
"77","GTDPRO","Seb Priaulx","49","2:05.288","1:48:33.405","Green","Track","11.724","77.602","35.962"
"86","GTD","Anders Fjordbach","48","2:29.957","1:48:36.245","Green","Track","33.394","81.224","35.339"
