Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2023,1.0,8,15.0,0.44699999999988904,0.0,10.0,10.0,1
2023,32.0,2,72.0,6.932999999999993,0.0,17.5,18.0,0
2023,32.0,3,226.0,5.485999999997148,0.0,27.5,27.5,1
2023,32.0,10,329.0,2.805000000000291,0.0,15.0,41.5,1
2023,47.0,13,72.0,2.5950000000002547,0.0,16.5,16.5,1
2023,16.0,10,15.0,2.3680000000001655,0.0,10.0,10.0,1
2023,16.0,12,72.0,1.3179999999993015,4.0,16.5,3.5,1
2023,16.0,3,284.0,7.360999999997148,0.0,11.5,17.5,1
2023,16.0,2,310.0,1.6130000000011933,1.0,24.0,41.0,1
2023,16.0,4,329.0,2.1239999999997963,0.0,16.5,24.5,1
2023,96.0,13,15.0,0.7010000000000218,0.0,10.0,10.0,1
2023,96.0,6,72.0,0.6290000000008149,0.0,17.5,17.5,0
2023,96.0,8,226.0,5.0349999999998545,0.0,27.5,27.5,1
2023,96.0,9,242.0,3.5940000000009604,24.0,14.0,38.0,1
2023,96.0,7,302.0,1.1970000000001164,2.0,16.0,18.0,1
2023,96.0,5,329.0,1.0750000000007276,0.0,24.5,22.5,1
2023,78.0,4,72.0,2.706000000000131,0.0,17.5,17.5,1
2023,78.0,8,155.0,0.3389999999999418,40.0,26.0,33.0,0
2023,78.0,4,226.0,3.106999999999971,0.0,27.5,27.5,1
2023,78.0,4,308.0,1.9140000000006694,17.0,22.0,39.0,1
2023,78.0,2,329.0,8.284999999999854,0.0,18.5,18.5,1
2023,77.0,12,15.0,0.7470000000000709,0.0,10.0,10.0,1
2023,77.0,8,72.0,2.7669999999998254,0.0,17.5,17.5,0
2023,77.0,9,195.0,0.9989999999997963,0.0,29.5,29.5,1
2023,77.0,6,226.0,6.298999999999069,0.0,27.5,27.5,1
2023,77.0,7,248.0,0.569999999999709,18.0,20.0,38.0,1
2023,77.0,8,284.0,0.7710000000006403,0.0,9.5,9.5,1
2023,77.0,6,304.0,1.5639999999984866,21.0,18.0,39.0,1
2023,77.0,6,329.0,1.018000000000029,0.0,22.5,21.5,1
2023,23.0,14,15.0,1.06899999999996,0.0,10.0,10.0,0
2023,23.0,16,74.0,2.037000000000262,0.0,17.5,19.0,0
2023,23.0,12,226.0,2.235000000000582,0.0,27.5,27.5,0
2023,23.0,9,284.0,5.172999999998865,0.0,11.5,11.5,0
2023,23.0,10,300.0,1.047999999998865,3.0,14.0,17.0,1
2023,44.0,15,15.0,0.7380000000000564,0.0,10.0,10.0,1
2023,44.0,11,40.0,2.130000000000109,10.0,23.5,31.5,0
2023,44.0,10,72.0,1.0850000000000364,0.0,16.5,16.5,0
2023,44.0,10,195.0,7.1009999999987485,0.0,27.0,25.0,0
2023,44.0,11,226.0,2.6819999999970605,0.0,27.5,27.5,0
2023,44.0,10,248.0,3.030000000002474,0.0,20.0,20.0,0
2023,92.0,17,15.0,0.7970000000000255,0.0,10.0,10.0,0
2023,92.0,11,72.0,0.6220000000002983,0.0,16.0,16.0,1
2023,80.0,16,15.0,0.9120000000000346,0.0,10.0,10.0,0
2023,80.0,9,72.0,6.331000000000131,0.0,16.5,17.5,0
2023,80.0,5,226.0,0.4370000000017171,0.0,27.5,27.5,1
2023,80.0,3,298.0,4.54399999999805,7.0,30.0,33.0,0
2023,80.0,8,329.0,3.07300000000032,0.0,28.5,1.5,1
